FID,BLOCK,PLOT,Burned,Rodents,Class_name,AREA_m_2_
50,B1,US,U,S,AM US,5.0286899
63,B1,US,U,S,AM US,7.6029801
64,B1,US,U,S,AM US,16.8817005
47,B2,US,U,S,AM US,23.8267002
29,B3,US,U,S,AM US,15.6725998
30,B3,US,U,S,AM US,10.4048004
35,B3,US,U,S,AM US,0.948244
21,B4,US,U,S,AM US,1.81747
1,B5,US,U,S,AM US,33.8664017
4,B5,US,U,S,AM US,6.2848401
6,B5,US,U,S,AM US,9.6731796
54,B1,UN,U,N,AM UN,6.2610002
55,B1,UN,U,N,AM UN,9.1731701
57,B1,UN,U,N,AM UN,6.8502498
62,B1,UN,U,N,AM UN,11.8509998
39,B2,UN,U,N,AM UN,6.4619598
40,B2,UN,U,N,AM UN,7.3420801
42,B2,UN,U,N,AM UN,10.0546999
43,B2,UN,U,N,AM UN,20.7891998
22,B3,UN,U,N,AM UN,10.7754002
33,B3,UN,U,N,AM UN,4.3447599
12,B4,UN,U,N,AM UN,12.0587997
20,B4,UN,U,N,AM UN,9.5635099
5,B5,UN,U,N,AM UN,20.0139999
56,B1,BS,B,S,AM BS,2.02387
58,B1,BS,B,S,AM BS,15.8319998
59,B1,BS,B,S,AM BS,13.7869997
60,B1,BS,B,S,AM BS,4.9626198
36,B2,BS,B,S,AM BS,6.0907001
37,B2,BS,B,S,AM BS,14.7571001
38,B2,BS,B,S,AM BS,6.7514701
26,B3,BS,B,S,AM BS,6.1683602
27,B3,BS,B,S,AM BS,2.54568
28,B3,BS,B,S,AM BS,3.84952
34,B3,BS,B,S,AM BS,10.5983
13,B4,BS,B,S,AM BS,18.5349998
15,B4,BS,B,S,AM BS,25.5576
16,B4,BS,B,S,AM BS,2.3202
0,B5,BS,B,S,AM BS,8.9136295
48,B1,BN,B,N,AM BN,11.0703001
49,B1,BN,B,N,AM BN,8.4797001
51,B1,BN,B,N,AM BN,9.1002798
52,B1,BN,B,N,AM BN,12.8823996
53,B1,BN,B,N,AM BN,6.9047399
61,B1,BN,B,N,AM BN,8.2610302
41,B2,BN,B,N,AM BN,7.65203
44,B2,BN,B,N,AM BN,8.9844799
45,B2,BN,B,N,AM BN,1.80316
46,B2,BN,B,N,AM BN,2.4428201
23,B3,BN,B,N,AM BN,4.9088001
24,B3,BN,B,N,AM BN,0.609002
25,B3,BN,B,N,AM BN,6.5975199
8,B4,BN,B,N,AM BN,1.17509
9,B4,BN,B,N,AM BN,1.60834
10,B4,BN,B,N,AM BN,1.70302
11,B4,BN,B,N,AM BN,4.0899801
17,B4,BN,B,N,AM BN,7.7378602
18,B4,BN,B,N,AM BN,1.18326
19,B4,BN,B,N,AM BN,0.30382
2,B5,BN,B,N,AM BN,5.0382299
3,B5,BN,B,N,AM BN,7.28758
